date,equity,cash,open_positions
2020-01-02,99820.44447229517,10087.547068578131,9
2020-01-03,100590.01331995142,10087.547068578131,9
2020-01-06,101592.548922521,10087.547068578131,9
2020-01-07,102172.47543619288,10087.547068578131,9
2020-01-08,103241.74168298853,10087.547068578131,9
2020-01-09,102906.50391290797,10087.547068578131,9
2020-01-10,103219.28282068385,10087.547068578131,9
2020-01-13,103966.60245035304,10087.547068578131,9
2020-01-14,104819.24363992823,10087.547068578131,9
2020-01-15,106757.38665674342,10087.547068578131,9
2020-01-16,107425.52275369776,10087.547068578131,9
2020-01-17,107189.65344904078,10087.547068578131,9
2020-01-21,108920.18883417262,10087.547068578131,9
2020-01-22,109694.56005762232,10087.547068578131,9
2020-01-23,111656.84276865138,10087.547068578131,9
2020-01-24,110663.86429880274,10087.547068578131,9
2020-01-27,110874.78327463282,10087.547068578131,9
2020-01-28,112750.82538889063,10087.547068578131,9
2020-01-29,111383.89274500025,10087.547068578131,9
2020-01-30,111768.20189569605,10087.547068578131,9
2020-01-31,109280.78048990382,10087.547068578131,9
2020-02-03,110224.60876367701,10087.547068578131,9
2020-02-04,109286.7312726797,10087.547068578131,9
2020-02-05,111565.38722131861,10087.547068578131,9
2020-02-06,111290.01063821925,10087.547068578131,9
2020-02-07,111635.29148767603,10087.547068578131,9
2020-02-10,112637.2341909231,10087.547068578131,9
2020-02-11,114132.59442422999,10087.547068578131,9
2020-02-12,113375.20003793848,10087.547068578131,9
2020-02-13,113971.63604639185,10087.547068578131,9
2020-02-14,114042.61919305933,10087.547068578131,9
2020-02-18,113554.75800607813,10087.547068578131,9
2020-02-19,113968.56752679957,10087.547068578131,9
2020-02-20,115190.0517148794,10087.547068578131,9
2020-02-21,114601.44493387354,10087.547068578131,9
2020-02-24,112312.49267099513,10087.547068578131,9
2020-02-25,107508.14278314722,10087.547068578131,9
2020-02-26,103176.10404871119,10087.547068578131,9
2020-02-27,101193.57944772852,10087.547068578131,9
2020-02-28,98191.87697504176,10087.547068578131,9
2020-03-02,101754.99462793482,10087.547068578131,9
2020-03-03,102089.3710508169,10087.547068578131,9
2020-03-04,105489.65625665797,10087.547068578131,9
2020-03-05,101638.07900903834,10087.547068578131,9
2020-03-06,98497.54742143763,10087.547068578131,9
2020-03-09,89416.1578731871,8045.806644473103,9
2020-03-10,91513.90505603317,8045.806644473103,9
2020-03-11,84122.51164010863,38409.627988375236,5
2020-03-12,78237.50572746432,60907.78372352755,2
2020-03-13,78779.09500663912,60907.78372352755,2
2020-03-16,75497.64836292148,67435.34802417636,1
2020-03-17,76703.84774188876,67435.34802417636,1
2020-03-18,76217.29825000644,67435.34802417636,1
2020-03-19,76035.99833469272,67435.34802417636,1
2020-03-20,75593.84774188876,67435.34802417636,1
2020-03-23,75117.81013471568,75117.81013471568,0
2020-03-24,75117.81013471568,75117.81013471568,0
2020-03-25,75117.81013471568,75117.81013471568,0
2020-03-26,75117.81013471568,75117.81013471568,0
2020-03-27,75117.81013471568,75117.81013471568,0
2020-03-30,75117.81013471568,75117.81013471568,0
2020-03-31,75117.81013471568,75117.81013471568,0
2020-04-01,75117.81013471568,75117.81013471568,0
2020-04-02,75117.81013471568,75117.81013471568,0
2020-04-03,75117.81013471568,75117.81013471568,0
2020-04-06,75117.81013471568,75117.81013471568,0
2020-04-07,75117.81013471568,75117.81013471568,0
2020-04-08,75117.81013471568,75117.81013471568,0
2020-04-09,75117.81013471568,75117.81013471568,0
2020-04-13,75117.81013471568,75117.81013471568,0
2020-04-14,75117.81013471568,75117.81013471568,0
2020-04-15,75117.81013471568,75117.81013471568,0
2020-04-16,75117.81013471568,75117.81013471568,0
2020-04-17,75117.81013471568,75117.81013471568,0
2020-04-20,75117.81013471568,75117.81013471568,0
2020-04-21,75117.81013471568,75117.81013471568,0
2020-04-22,75117.81013471568,75117.81013471568,0
2020-04-23,75117.81013471568,75117.81013471568,0
2020-04-24,75117.81013471568,75117.81013471568,0
2020-04-27,75117.81013471568,75117.81013471568,0
2020-04-28,75117.81013471568,75117.81013471568,0
2020-04-29,75117.81013471568,75117.81013471568,0
2020-04-30,75117.81013471568,75117.81013471568,0
2020-05-01,75117.81013471568,75117.81013471568,0
2020-05-04,75117.81013471568,75117.81013471568,0
2020-05-05,75117.81013471568,75117.81013471568,0
2020-05-06,75117.81013471568,75117.81013471568,0
2020-05-07,75117.81013471568,75117.81013471568,0
2020-05-08,75117.81013471568,75117.81013471568,0
2020-05-11,75117.81013471568,75117.81013471568,0
2020-05-12,75117.81013471568,75117.81013471568,0
2020-05-13,75117.81013471568,75117.81013471568,0
2020-05-14,75117.81013471568,75117.81013471568,0
2020-05-15,75117.81013471568,75117.81013471568,0
2020-05-18,75117.81013471568,75117.81013471568,0
2020-05-19,75117.81013471568,75117.81013471568,0
2020-05-20,75117.81013471568,75117.81013471568,0
2020-05-21,75117.81013471568,75117.81013471568,0
2020-05-22,75117.81013471568,75117.81013471568,0
2020-05-26,75117.81013471568,75117.81013471568,0
2020-05-27,75117.81013471568,75117.81013471568,0
2020-05-28,75117.81013471568,75117.81013471568,0
2020-05-29,75117.81013471568,75117.81013471568,0
2020-06-01,75117.81013471568,75117.81013471568,0
2020-06-02,75117.81013471568,75117.81013471568,0
2020-06-03,75117.81013471568,75117.81013471568,0
2020-06-04,75117.81013471568,75117.81013471568,0
2020-06-05,75117.81013471568,75117.81013471568,0
2020-06-08,75117.81013471568,75117.81013471568,0
2020-06-09,75117.81013471568,75117.81013471568,0
2020-06-10,75117.81013471568,75117.81013471568,0
2020-06-11,75117.81013471568,75117.81013471568,0
2020-06-12,75117.81013471568,75117.81013471568,0
2020-06-15,75117.81013471568,75117.81013471568,0
2020-06-16,75117.81013471568,75117.81013471568,0
2020-06-17,75117.81013471568,75117.81013471568,0
2020-06-18,75117.81013471568,75117.81013471568,0
2020-06-19,75117.81013471568,75117.81013471568,0
2020-06-22,75117.81013471568,75117.81013471568,0
2020-06-23,75117.81013471568,75117.81013471568,0
2020-06-24,75117.81013471568,75117.81013471568,0
2020-06-25,75117.81013471568,75117.81013471568,0
2020-06-26,75117.81013471568,75117.81013471568,0
2020-06-29,75117.81013471568,75117.81013471568,0
2020-06-30,75117.81013471568,75117.81013471568,0
2020-07-01,75117.81013471568,75117.81013471568,0
2020-07-02,75117.81013471568,75117.81013471568,0
2020-07-06,75117.81013471568,75117.81013471568,0
2020-07-07,75117.81013471568,75117.81013471568,0
2020-07-08,75117.81013471568,75117.81013471568,0
2020-07-09,75117.81013471568,75117.81013471568,0
2020-07-10,75117.81013471568,75117.81013471568,0
2020-07-13,75117.81013471568,75117.81013471568,0
2020-07-14,75117.81013471568,75117.81013471568,0
2020-07-15,75117.81013471568,75117.81013471568,0
2020-07-16,75117.81013471568,75117.81013471568,0
2020-07-17,75117.81013471568,75117.81013471568,0
2020-07-20,75117.81013471568,75117.81013471568,0
2020-07-21,75117.81013471568,75117.81013471568,0
2020-07-22,75117.81013471568,75117.81013471568,0
2020-07-23,75117.81013471568,75117.81013471568,0
2020-07-24,75117.81013471568,75117.81013471568,0
2020-07-27,75117.81013471568,75117.81013471568,0
2020-07-28,75117.81013471568,75117.81013471568,0
2020-07-29,75117.81013471568,75117.81013471568,0
2020-07-30,75117.81013471568,75117.81013471568,0
2020-07-31,75117.81013471568,75117.81013471568,0
2020-08-03,75117.81013471568,75117.81013471568,0
2020-08-04,75117.81013471568,75117.81013471568,0
2020-08-05,75117.81013471568,75117.81013471568,0
2020-08-06,75117.81013471568,75117.81013471568,0
2020-08-07,75117.81013471568,75117.81013471568,0
2020-08-10,75117.81013471568,75117.81013471568,0
2020-08-11,75117.81013471568,75117.81013471568,0
2020-08-12,75117.81013471568,75117.81013471568,0
2020-08-13,75117.81013471568,75117.81013471568,0
2020-08-14,75117.81013471568,75117.81013471568,0
2020-08-17,75117.81013471568,75117.81013471568,0
2020-08-18,75117.81013471568,75117.81013471568,0
2020-08-19,75117.81013471568,75117.81013471568,0
2020-08-20,75117.81013471568,75117.81013471568,0
2020-08-21,75117.81013471568,75117.81013471568,0
2020-08-24,75117.81013471568,75117.81013471568,0
2020-08-25,75117.81013471568,75117.81013471568,0
2020-08-26,75117.81013471568,75117.81013471568,0
2020-08-27,75117.81013471568,75117.81013471568,0
2020-08-28,75117.81013471568,75117.81013471568,0
2020-08-31,75117.81013471568,75117.81013471568,0
2020-09-01,75117.81013471568,75117.81013471568,0
2020-09-02,75117.81013471568,75117.81013471568,0
2020-09-03,75117.81013471568,75117.81013471568,0
2020-09-04,75117.81013471568,75117.81013471568,0
2020-09-08,75117.81013471568,75117.81013471568,0
2020-09-09,75117.81013471568,75117.81013471568,0
2020-09-10,75117.81013471568,75117.81013471568,0
2020-09-11,75117.81013471568,75117.81013471568,0
2020-09-14,75117.81013471568,75117.81013471568,0
2020-09-15,75117.81013471568,75117.81013471568,0
2020-09-16,75117.81013471568,75117.81013471568,0
2020-09-17,75117.81013471568,75117.81013471568,0
2020-09-18,75117.81013471568,75117.81013471568,0
2020-09-21,75117.81013471568,75117.81013471568,0
2020-09-22,75117.81013471568,75117.81013471568,0
2020-09-23,75117.81013471568,75117.81013471568,0
2020-09-24,75117.81013471568,75117.81013471568,0
2020-09-25,75117.81013471568,75117.81013471568,0
2020-09-28,75117.81013471568,75117.81013471568,0
2020-09-29,75117.81013471568,75117.81013471568,0
2020-09-30,75117.81013471568,75117.81013471568,0
2020-10-01,75117.81013471568,75117.81013471568,0
2020-10-02,75117.81013471568,75117.81013471568,0
2020-10-05,75117.81013471568,75117.81013471568,0
2020-10-06,75117.81013471568,75117.81013471568,0
2020-10-07,75117.81013471568,75117.81013471568,0
2020-10-08,75117.81013471568,75117.81013471568,0
2020-10-09,75117.81013471568,75117.81013471568,0
2020-10-12,75117.81013471568,75117.81013471568,0
2020-10-13,75117.81013471568,75117.81013471568,0
2020-10-14,75117.81013471568,75117.81013471568,0
2020-10-15,75117.81013471568,75117.81013471568,0
2020-10-16,75117.81013471568,75117.81013471568,0
2020-10-19,75117.81013471568,75117.81013471568,0
2020-10-20,75117.81013471568,75117.81013471568,0
2020-10-21,75117.81013471568,75117.81013471568,0
2020-10-22,75117.81013471568,75117.81013471568,0
2020-10-23,75117.81013471568,75117.81013471568,0
2020-10-26,75117.81013471568,75117.81013471568,0
2020-10-27,75117.81013471568,75117.81013471568,0
2020-10-28,75117.81013471568,75117.81013471568,0
2020-10-29,75117.81013471568,75117.81013471568,0
2020-10-30,75117.81013471568,75117.81013471568,0
2020-11-02,75117.81013471568,75117.81013471568,0
2020-11-03,75117.81013471568,75117.81013471568,0
2020-11-04,75117.81013471568,75117.81013471568,0
2020-11-05,75117.81013471568,75117.81013471568,0
2020-11-06,75117.81013471568,75117.81013471568,0
2020-11-09,75117.81013471568,75117.81013471568,0
2020-11-10,75117.81013471568,75117.81013471568,0
2020-11-11,75117.81013471568,75117.81013471568,0
2020-11-12,75117.81013471568,75117.81013471568,0
2020-11-13,75117.81013471568,75117.81013471568,0
2020-11-16,75117.81013471568,75117.81013471568,0
2020-11-17,75117.81013471568,75117.81013471568,0
2020-11-18,75117.81013471568,75117.81013471568,0
2020-11-19,75117.81013471568,75117.81013471568,0
2020-11-20,75117.81013471568,75117.81013471568,0
2020-11-23,75117.81013471568,75117.81013471568,0
2020-11-24,75117.81013471568,75117.81013471568,0
2020-11-25,75117.81013471568,75117.81013471568,0
2020-11-27,75117.81013471568,75117.81013471568,0
2020-11-30,75117.81013471568,75117.81013471568,0
2020-12-01,75117.81013471568,75117.81013471568,0
2020-12-02,75117.81013471568,75117.81013471568,0
2020-12-03,75117.81013471568,75117.81013471568,0
2020-12-04,75117.81013471568,75117.81013471568,0
2020-12-07,75117.81013471568,75117.81013471568,0
2020-12-08,75117.81013471568,75117.81013471568,0
2020-12-09,75117.81013471568,75117.81013471568,0
2020-12-10,75117.81013471568,75117.81013471568,0
2020-12-11,75117.81013471568,75117.81013471568,0
2020-12-14,75117.81013471568,75117.81013471568,0
2020-12-15,75117.81013471568,75117.81013471568,0
2020-12-16,75117.81013471568,75117.81013471568,0
2020-12-17,75117.81013471568,75117.81013471568,0
2020-12-18,75117.81013471568,75117.81013471568,0
2020-12-21,75117.81013471568,75117.81013471568,0
2020-12-22,75117.81013471568,75117.81013471568,0
2020-12-23,75117.81013471568,75117.81013471568,0
2020-12-24,75117.81013471568,75117.81013471568,0
2020-12-28,75117.81013471568,75117.81013471568,0
2020-12-29,75117.81013471568,75117.81013471568,0
2020-12-30,75117.81013471568,75117.81013471568,0
2020-12-31,75117.81013471568,75117.81013471568,0
2021-01-04,75117.81013471568,75117.81013471568,0
2021-01-05,75117.81013471568,75117.81013471568,0
2021-01-06,75117.81013471568,75117.81013471568,0
2021-01-07,75117.81013471568,75117.81013471568,0
2021-01-08,75117.81013471568,75117.81013471568,0
2021-01-11,75117.81013471568,75117.81013471568,0
2021-01-12,75117.81013471568,75117.81013471568,0
2021-01-13,75117.81013471568,75117.81013471568,0
2021-01-14,75117.81013471568,75117.81013471568,0
2021-01-15,75117.81013471568,75117.81013471568,0
2021-01-19,75117.81013471568,75117.81013471568,0
2021-01-20,75117.81013471568,75117.81013471568,0
2021-01-21,75117.81013471568,75117.81013471568,0
2021-01-22,75117.81013471568,75117.81013471568,0
2021-01-25,75117.81013471568,75117.81013471568,0
2021-01-26,75117.81013471568,75117.81013471568,0
2021-01-27,75117.81013471568,75117.81013471568,0
2021-01-28,75117.81013471568,75117.81013471568,0
2021-01-29,75117.81013471568,75117.81013471568,0
2021-02-01,75117.81013471568,75117.81013471568,0
2021-02-02,75117.81013471568,75117.81013471568,0
2021-02-03,75117.81013471568,75117.81013471568,0
2021-02-04,75117.81013471568,75117.81013471568,0
2021-02-05,75117.81013471568,75117.81013471568,0
2021-02-08,75117.81013471568,75117.81013471568,0
2021-02-09,75117.81013471568,75117.81013471568,0
2021-02-10,75117.81013471568,75117.81013471568,0
2021-02-11,75117.81013471568,75117.81013471568,0
2021-02-12,75117.81013471568,75117.81013471568,0
2021-02-16,75117.81013471568,75117.81013471568,0
2021-02-17,75117.81013471568,75117.81013471568,0
2021-02-18,75117.81013471568,75117.81013471568,0
2021-02-19,75117.81013471568,75117.81013471568,0
2021-02-22,75117.81013471568,75117.81013471568,0
2021-02-23,75117.81013471568,75117.81013471568,0
2021-02-24,75117.81013471568,75117.81013471568,0
2021-02-25,75117.81013471568,75117.81013471568,0
2021-02-26,75117.81013471568,75117.81013471568,0
2021-03-01,75117.81013471568,75117.81013471568,0
2021-03-02,75117.81013471568,75117.81013471568,0
2021-03-03,75117.81013471568,75117.81013471568,0
2021-03-04,75117.81013471568,75117.81013471568,0
2021-03-05,75117.81013471568,75117.81013471568,0
2021-03-08,75117.81013471568,75117.81013471568,0
2021-03-09,75117.81013471568,75117.81013471568,0
2021-03-10,75117.81013471568,75117.81013471568,0
2021-03-11,75117.81013471568,75117.81013471568,0
2021-03-12,75117.81013471568,75117.81013471568,0
2021-03-15,75117.81013471568,75117.81013471568,0
2021-03-16,75117.81013471568,75117.81013471568,0
2021-03-17,75117.81013471568,75117.81013471568,0
2021-03-18,75117.81013471568,75117.81013471568,0
2021-03-19,75117.81013471568,75117.81013471568,0
2021-03-22,75117.81013471568,75117.81013471568,0
2021-03-23,75117.81013471568,75117.81013471568,0
2021-03-24,75117.81013471568,75117.81013471568,0
2021-03-25,75117.81013471568,75117.81013471568,0
2021-03-26,75117.81013471568,75117.81013471568,0
2021-03-29,75117.81013471568,75117.81013471568,0
2021-03-30,75117.81013471568,75117.81013471568,0
2021-03-31,75117.81013471568,75117.81013471568,0
2021-04-01,75117.81013471568,75117.81013471568,0
2021-04-05,75117.81013471568,75117.81013471568,0
2021-04-06,75117.81013471568,75117.81013471568,0
2021-04-07,75117.81013471568,75117.81013471568,0
2021-04-08,75117.81013471568,75117.81013471568,0
2021-04-09,75117.81013471568,75117.81013471568,0
2021-04-12,75117.81013471568,75117.81013471568,0
2021-04-13,75117.81013471568,75117.81013471568,0
2021-04-14,75117.81013471568,75117.81013471568,0
2021-04-15,75117.81013471568,75117.81013471568,0
2021-04-16,75117.81013471568,75117.81013471568,0
2021-04-19,75117.81013471568,75117.81013471568,0
2021-04-20,75117.81013471568,75117.81013471568,0
2021-04-21,75117.81013471568,75117.81013471568,0
2021-04-22,75117.81013471568,75117.81013471568,0
2021-04-23,75117.81013471568,75117.81013471568,0
2021-04-26,75117.81013471568,75117.81013471568,0
2021-04-27,75117.81013471568,75117.81013471568,0
2021-04-28,75117.81013471568,75117.81013471568,0
2021-04-29,75117.81013471568,75117.81013471568,0
2021-04-30,75117.81013471568,75117.81013471568,0
2021-05-03,75117.81013471568,75117.81013471568,0
2021-05-04,75117.81013471568,75117.81013471568,0
2021-05-05,75117.81013471568,75117.81013471568,0
2021-05-06,75117.81013471568,75117.81013471568,0
2021-05-07,75117.81013471568,75117.81013471568,0
2021-05-10,75117.81013471568,75117.81013471568,0
2021-05-11,75117.81013471568,75117.81013471568,0
2021-05-12,75117.81013471568,75117.81013471568,0
2021-05-13,75117.81013471568,75117.81013471568,0
2021-05-14,75117.81013471568,75117.81013471568,0
2021-05-17,75117.81013471568,75117.81013471568,0
2021-05-18,75117.81013471568,75117.81013471568,0
2021-05-19,75117.81013471568,75117.81013471568,0
2021-05-20,75117.81013471568,75117.81013471568,0
2021-05-21,75117.81013471568,75117.81013471568,0
2021-05-24,75117.81013471568,75117.81013471568,0
2021-05-25,75117.81013471568,75117.81013471568,0
2021-05-26,75117.81013471568,75117.81013471568,0
2021-05-27,75117.81013471568,75117.81013471568,0
2021-05-28,75117.81013471568,75117.81013471568,0
2021-06-01,75117.81013471568,75117.81013471568,0
2021-06-02,75117.81013471568,75117.81013471568,0
2021-06-03,75117.81013471568,75117.81013471568,0
2021-06-04,75117.81013471568,75117.81013471568,0
2021-06-07,75117.81013471568,75117.81013471568,0
2021-06-08,75117.81013471568,75117.81013471568,0
2021-06-09,75117.81013471568,75117.81013471568,0
2021-06-10,75117.81013471568,75117.81013471568,0
2021-06-11,75117.81013471568,75117.81013471568,0
2021-06-14,75117.81013471568,75117.81013471568,0
2021-06-15,75117.81013471568,75117.81013471568,0
2021-06-16,75117.81013471568,75117.81013471568,0
2021-06-17,75117.81013471568,75117.81013471568,0
2021-06-18,75117.81013471568,75117.81013471568,0
2021-06-21,75117.81013471568,75117.81013471568,0
2021-06-22,75117.81013471568,75117.81013471568,0
2021-06-23,75117.81013471568,75117.81013471568,0
2021-06-24,75117.81013471568,75117.81013471568,0
2021-06-25,75117.81013471568,75117.81013471568,0
2021-06-28,75117.81013471568,75117.81013471568,0
2021-06-29,75117.81013471568,75117.81013471568,0
2021-06-30,75117.81013471568,75117.81013471568,0
2021-07-01,75117.81013471568,75117.81013471568,0
2021-07-02,75117.81013471568,75117.81013471568,0
2021-07-06,75117.81013471568,75117.81013471568,0
2021-07-07,75117.81013471568,75117.81013471568,0
2021-07-08,75117.81013471568,75117.81013471568,0
2021-07-09,75117.81013471568,75117.81013471568,0
2021-07-12,75117.81013471568,75117.81013471568,0
2021-07-13,75117.81013471568,75117.81013471568,0
2021-07-14,75117.81013471568,75117.81013471568,0
2021-07-15,75117.81013471568,75117.81013471568,0
2021-07-16,75117.81013471568,75117.81013471568,0
2021-07-19,75117.81013471568,75117.81013471568,0
2021-07-20,75117.81013471568,75117.81013471568,0
2021-07-21,75117.81013471568,75117.81013471568,0
2021-07-22,75117.81013471568,75117.81013471568,0
2021-07-23,75117.81013471568,75117.81013471568,0
2021-07-26,75117.81013471568,75117.81013471568,0
2021-07-27,75117.81013471568,75117.81013471568,0
2021-07-28,75117.81013471568,75117.81013471568,0
2021-07-29,75117.81013471568,75117.81013471568,0
2021-07-30,75117.81013471568,75117.81013471568,0
2021-08-02,75117.81013471568,75117.81013471568,0
2021-08-03,75117.81013471568,75117.81013471568,0
2021-08-04,75117.81013471568,75117.81013471568,0
2021-08-05,75117.81013471568,75117.81013471568,0
